gene_name	transcript_id	strand	nreads	ntranscripts	nFSM	nISM	nNIC	nNNC	nFSMreads	nISMreads	nNICreads	nNNCreads
KRIT1	ENST00000394505.7	-	5244	205	21	99	52	33	393	4218	472	161
KRR1	ENST00000229214.9	-	7628	148	31	39	26	52	6766	349	239	274
KRT1	ENST00000252244.3	-	119	9	0	3	0	6	0	39	0	80
KRT10	ENST00000269576.6	-	4107	29	0	10	0	19	0	3895	0	212
KRT13	ENST00000246635.8	-	15	5	0	1	3	1	0	2	10	3
KRT17	ENST00000311208.13	-	2101	21	2	6	0	13	1468	349	0	284
KRT18	ENST00000388835.4	+	439	24	14	4	0	6	285	27	0	127
KRT19	ENST00000361566.7	-	1089	15	2	6	2	5	861	207	6	15
KRT222	ENST00000394052.5	-	6153	109	24	48	7	30	4835	1010	38	270
KRT23	ENST00000209718.8	-	17	4	2	0	1	1	10	0	5	2
KRT25	ENST00000312150.5	-	3	1	0	1	0	0	0	3	0	0
KRT28	ENST00000306658.8	-	2	1	0	1	0	0	0	2	0	0
KRT31	ENST00000251645.3	-	246	18	3	14	0	1	14	230	0	2
KRT33B	ENST00000251646.8	-	22	4	1	2	1	0	3	17	2	0
KRT34	ENST00000394001.3	-	2	1	0	1	0	0	0	2	0	0
KRT5	ENST00000252242.9	-	452	27	7	9	1	10	90	313	5	44
KRT6A	ENST00000330722.7	-	4	1	0	1	0	0	0	4	0	0
KRT6B	ENST00000252252.4	-	12	2	0	2	0	0	0	12	0	0
KRT6C	ENST00000252250.7	-	2	1	0	1	0	0	0	2	0	0
KRT7	ENST00000331817.6	+	26	7	0	3	0	4	0	13	0	13
KRT78	ENST00000304620.5	-	23	5	0	4	1	0	0	21	2	0
KRT8	ENST00000692008.1	-	70	8	1	6	0	1	2	64	0	4
KRT81	ENST00000327741.9	-	21	3	0	2	0	1	0	17	0	4
KRT82	ENST00000257974.3	-	2	1	0	1	0	0	0	2	0	0
KRT83	ENST00000293670.3	-	55	5	0	2	0	3	0	7	0	48
KRT86	ENST00000423955.7	+	110	9	0	6	0	3	0	102	0	8
KRTAP1-5	ENST00000361883.6	-	5	1	1	0	0	0	5	0	0	0
KRTAP11-1	ENST00000332378.6	-	5	2	2	0	0	0	5	0	0	0
KRTAP16-1	ENST00000391352.2	-	5	2	2	0	0	0	5	0	0	0
KRTAP21-2	ENST00000333892.3	-	2	1	1	0	0	0	2	0	0	0
KRTAP23-1	ENST00000334160.6	-	14	3	3	0	0	0	14	0	0	0
KRTAP3-2	ENST00000391587.3	-	38	2	2	0	0	0	38	0	0	0
KRTAP5-11	ENST00000398530.1	-	11	2	0	0	0	2	0	0	0	11
KRTAP5-2	ENST00000412090.2	-	2	1	1	0	0	0	2	0	0	0
KRTAP5-6	ENST00000382160.1	+	2	1	1	0	0	0	2	0	0	0
KRTAP5-7	ENST00000398536.6	+	54	13	13	0	0	0	54	0	0	0
KRTAP5-8	ENST00000398534.4	+	5	2	2	0	0	0	5	0	0	0
KRTAP5-9	ENST00000528743.4	+	18	6	6	0	0	0	18	0	0	0
KRTCAP2	ENST00000295682.6	-	30600	156	11	11	23	111	29087	710	269	534
KRTCAP3	ENST00000288873.7	+	107	25	3	14	3	3	16	57	8	21
KRTDAP	ENST00000338897.4	-	5	2	1	0	1	0	2	0	3	0
KSR1	ENST00000644974.2	+	97	21	7	10	0	4	44	36	0	17
KSR2	ENST00000339824.7	-	44	12	0	11	0	1	0	40	0	4
KTI12	ENST00000371614.2	-	1947	8	8	0	0	0	1947	0	0	0
KTN1	ENST00000395314.8	+	15580	587	20	340	88	139	450	13722	730	678
KXD1	ENST00000222307.9	+	12531	142	37	11	18	76	10944	425	289	873
KY	ENST00000423778.7	-	93	24	7	9	2	5	36	36	4	14
KYAT1	ENST00000302586.8	-	2702	155	8	31	42	74	1122	712	412	456
KYAT3	ENST00000260508.9	-	5304	161	4	27	18	112	3507	722	204	871
KYNU	ENST00000264170.9	+	176	12	1	3	0	8	11	10	0	155
L1CAM	ENST00000370060.7	-	6437	210	2	27	1	180	29	177	3	6228
L1TD1	ENST00000498273.2	+	15	5	3	0	0	2	9	0	0	6
L2HGDH	ENST00000267436.9	-	780	66	13	34	3	16	526	172	16	66
L3HYPDH	ENST00000247194.9	-	1233	89	30	21	26	12	758	165	207	103
L3MBTL1	ENST00000418998.7	+	221	66	7	42	8	9	36	136	19	30
L3MBTL2	ENST00000216237.10	+	4672	208	8	89	21	90	2392	1300	289	691
L3MBTL3	ENST00000361794.7	+	939	120	3	70	9	38	234	499	33	173
L3MBTL4	ENST00000317931.12	-	535	69	2	25	19	23	55	157	95	228
LACC1	ENST00000325686.7	+	309	46	19	14	1	12	208	56	2	43
LACTB	ENST00000261893.9	+	1074	79	13	27	0	39	428	322	0	324
LACTB2	ENST00000276590.5	-	2399	50	9	23	4	14	2133	132	76	58
LAG3	ENST00000203629.3	+	49	14	0	12	2	0	0	43	6	0
LAGE3	ENST00000357360.5	-	13549	24	3	1	3	17	12486	308	46	709
LAIR1	ENST00000391742.7	-	14	1	1	0	0	0	14	0	0	0
LAIR2	ENST00000301202.7	+	2	1	1	0	0	0	2	0	0	0
LAMA1	ENST00000389658.4	-	538	72	8	49	1	14	41	431	2	64
LAMA2	ENST00000421865.3	+	604	78	0	49	2	27	0	447	5	152
LAMA3	ENST00000313654.14	+	299	38	0	36	0	2	0	294	0	5
LAMA4	ENST00000230538.12	-	1214	109	19	65	7	18	602	518	22	72
LAMA5	ENST00000252999.7	-	431	38	2	27	3	6	70	325	7	29
LAMB1	ENST00000222399.11	-	3477	135	41	69	1	24	1041	2338	2	96
LAMB2	ENST00000305544.9	-	1550	81	10	27	19	25	425	953	68	104
LAMB3	ENST00000356082.9	-	1138	32	0	21	1	10	0	1078	3	57
LAMC1	ENST00000258341.5	+	309	67	0	65	0	2	0	300	0	9
LAMC2	ENST00000264144.5	+	42	10	1	6	0	3	2	22	0	18
LAMC3	ENST00000361069.9	+	158	23	3	17	0	3	9	141	0	8
LAMP1	ENST00000332556.5	+	435	47	5	23	0	19	47	321	0	67
LAMP2	ENST00000200639.9	-	10232	308	37	66	10	195	7062	1720	57	1393
LAMP5	ENST00000246070.3	+	8226	103	9	25	12	57	6129	968	318	811
LAMTOR1	ENST00000278671.10	-	17832	66	14	9	3	40	15789	1227	386	430
LAMTOR2	ENST00000368305.9	+	20669	80	22	8	13	37	19109	282	1013	265
LAMTOR3	ENST00000499666.7	-	4801	173	17	27	7	122	1584	1098	28	2091
LAMTOR4	ENST00000341942.10	+	29768	180	29	25	12	114	26074	1054	563	2077
LAMTOR5	ENST00000602318.6	-	39028	95	19	1	2	73	35552	2253	44	1179
LANCL1	ENST00000450366.7	-	4352	194	31	62	13	88	3098	739	149	366
LANCL2	ENST00000254770.3	+	2453	168	48	48	2	70	1388	631	11	423
LANCL3	ENST00000378619.4	+	21	5	3	1	0	1	10	7	0	4
LAP3	ENST00000226299.9	+	9816	166	12	54	26	74	6433	2152	219	1012
LAPTM4A	ENST00000175091.5	-	52428	248	16	20	9	203	45466	4131	589	2242
LAPTM4B	ENST00000521545.7	+	6388	72	5	18	7	42	4717	1217	57	397
LAPTM5	ENST00000294507.4	-	2335	45	4	15	3	23	273	330	14	1718
LARGE1	ENST00000397394.8	-	1747	73	8	31	5	29	142	1315	17	273
LARGE2	ENST00000401752.6	+	2	1	0	1	0	0	0	2	0	0
LARP1	ENST00000518297.6	+	2333	104	4	64	6	30	498	1685	24	126
LARP1B	ENST00000326639.11	+	3612	207	9	126	25	47	168	2545	174	725
LARP4	ENST00000398473.7	+	945	86	15	42	10	19	187	631	36	91
LARP4B	ENST00000316157.8	-	267	65	10	44	5	6	40	194	12	21
LARP6	ENST00000299213.10	-	6252	45	11	4	3	27	5656	434	12	150
LARP7	ENST00000344442.10	+	13302	365	15	103	103	144	3540	5915	1645	2202
LARS1	ENST00000394434.7	-	13758	455	29	190	33	203	677	10212	255	2614
LARS2	ENST00000645846.2	+	1890	114	12	56	12	34	981	607	59	243
LAS1L	ENST00000374811.8	-	4456	247	5	96	81	65	712	1202	1917	625
LASP1	ENST00000318008.11	+	8302	235	12	13	2	208	5818	540	15	1929
LAT	ENST00000395456.7	+	142	32	12	16	0	4	49	79	0	14
LAT2	ENST00000460943.6	+	334	33	5	10	1	17	243	38	3	50
LATS1	ENST00000543571.6	-	670	58	16	34	3	5	440	188	18	24
LATS2	ENST00000382592.5	-	117	15	0	15	0	0	0	117	0	0
LAYN	ENST00000375614.7	+	588	44	9	15	5	15	412	83	14	79
LBH	ENST00000395323.9	+	2153	45	17	0	0	28	2035	0	0	118
LBHD1	ENST00000354588.8	-	297	42	9	7	12	14	75	115	69	38
LBHD2	ENST00000634353.1	+	128	13	2	2	1	8	75	8	2	43
LBP	ENST00000217407.3	+	4	1	0	0	0	1	0	0	0	4
LBR	ENST00000272163.9	-	6223	251	27	104	48	72	3268	1859	475	621
LCA5	ENST00000369846.9	-	1447	137	7	80	35	15	245	887	267	48
LCA5L	ENST00000288350.8	-	92	20	5	3	4	8	24	7	32	29
LCAT	ENST00000264005.10	-	293	43	16	11	9	7	159	73	39	22
LCE1D	ENST00000326233.7	+	2	1	0	0	0	1	0	0	0	2
LCK	ENST00000336890.10	+	3	1	1	0	0	0	3	0	0	0
LCLAT1	ENST00000379509.8	+	349	42	9	18	13	2	175	66	98	10
LCMT1	ENST00000399069.8	+	22773	342	8	34	29	268	2526	1389	531	18317
LCMT2	ENST00000305641.7	-	2	1	1	0	0	0	2	0	0	0
LCN1	ENST00000371781.4	+	57	7	0	7	0	0	0	57	0	0
LCN10	ENST00000497771.6	-	5	2	1	1	0	0	3	2	0	0
LCN12	ENST00000371633.8	+	64	19	2	3	2	12	9	7	8	40
LCN15	ENST00000316144.6	-	259	34	7	4	0	23	25	14	0	220
LCN2	ENST00000277480.7	+	58	10	1	2	0	7	4	4	0	50
LCN6	ENST00000341206.9	-	6	1	0	1	0	0	0	6	0	0
LCN8	ENST00000371688.8	-	23	6	0	0	1	5	0	0	5	18
LCN9	ENST00000619315.2	+	2	1	1	0	0	0	2	0	0	0
LCNL1	ENST00000408973.3	+	103	25	9	1	2	13	25	2	18	58
LCOR	ENST00000421806.4	+	420	62	18	21	10	13	227	112	47	34
LCORL	ENST00000635767.2	-	2607	194	49	58	58	29	1159	258	1055	135
LCP1	ENST00000323076.7	-	214	16	2	10	2	2	140	51	8	15
LCP2	ENST00000046794.10	-	776	97	4	12	0	81	21	67	0	688
LCTL	ENST00000695545.1	-	24	5	0	1	1	3	0	3	2	19
LDAH	ENST00000237822.8	-	2738	159	25	41	30	63	1499	412	210	617
LDB1	ENST00000673968.1	-	3151	208	13	43	21	131	210	1365	226	1350
LDB2	ENST00000304523.10	-	22616	304	20	56	86	140	16286	3041	2381	900
LDB3	ENST00000361373.9	+	64	19	2	16	0	1	5	55	0	4
LDHA	ENST00000422447.8	+	128183	692	57	30	36	569	112978	8774	518	5913
LDHAL6A	ENST00000280706.3	+	74	12	2	8	0	2	17	39	0	18
LDHB	ENST00000350669.5	-	220169	538	27	33	12	466	190086	19144	243	10696
LDHC	ENST00000541669.6	+	66	11	4	1	4	2	39	7	16	4
LDHD	ENST00000450168.3	-	997	60	5	32	8	15	561	214	35	187
LDLR	ENST00000558518.6	+	1156	94	17	54	11	12	478	324	62	292
LDLRAD3	ENST00000315571.6	+	594	44	5	15	6	18	287	204	34	69
LDLRAD4	ENST00000359446.11	+	702	92	33	20	18	21	465	105	81	51
LDLRAP1	ENST00000374338.5	+	323	24	4	8	1	11	192	41	6	84
LDOC1	ENST00000370526.5	-	1734	176	2	0	0	174	390	0	0	1344
LEAP2	ENST00000296877.3	+	183	21	20	0	0	1	181	0	0	2
LEF1	ENST00000265165.6	-	922	54	16	22	7	9	376	406	51	89
LEFTY1	ENST00000272134.5	-	22	5	0	4	1	0	0	20	2	0
LEFTY2	ENST00000366820.10	-	15	1	0	1	0	0	0	15	0	0
LEKR1	ENST00000356539.9	+	27	9	3	2	2	2	11	5	6	5
LEMD1	ENST00000367153.9	-	1307	33	7	2	8	16	1113	20	73	101
LEMD2	ENST00000293760.10	-	363	38	12	20	1	5	123	211	2	27
LEMD3	ENST00000308330.3	+	1304	149	33	88	3	25	385	814	7	98
LENG1	ENST00000222224.4	-	171	10	2	7	0	1	93	76	0	2
LENG8	ENST00000326764.10	+	90	20	0	10	3	7	0	35	13	42
LENG9	ENST00000611161.2	-	2	1	1	0	0	0	2	0	0	0
LEO1	ENST00000299601.10	-	12881	195	4	83	9	99	8286	3554	131	910
LEPR	ENST00000349533.11	+	110	29	6	22	0	1	36	65	0	9
LEPROT	ENST00000371065.9	+	5240	105	21	27	2	54	3863	988	7	380
LEPROTL1	ENST00000321250.13	+	16123	146	23	29	8	86	14438	732	175	778
LETM1	ENST00000302787.3	-	1144	132	17	88	0	27	247	782	0	115
LETM2	ENST00000379957.9	+	878	85	12	10	0	63	426	86	0	366
LETMD1	ENST00000262055.9	+	13778	319	23	40	135	121	5920	975	5527	1356
LFNG	ENST00000222725.10	+	41	15	3	10	0	2	12	25	0	4
LGALS1	ENST00000215909.10	+	30150	100	7	17	6	70	27423	1273	563	891
LGALS12	ENST00000394618.9	+	3	1	0	1	0	0	0	3	0	0
LGALS13	ENST00000221797.5	+	2	1	1	0	0	0	2	0	0	0
LGALS14	ENST00000392052.8	+	2	1	1	0	0	0	2	0	0	0
LGALS2	ENST00000215886.6	-	7	2	2	0	0	0	7	0	0	0
LGALS3	ENST00000254301.14	+	8490	108	14	9	7	78	5601	1263	285	1341
LGALS3BP	ENST00000262776.8	-	6675	52	8	9	13	22	5957	382	186	150
LGALS4	ENST00000307751.9	-	20	9	2	7	0	0	4	16	0	0
LGALS7	ENST00000378626.5	-	34	1	0	1	0	0	0	34	0	0
LGALS7B	ENST00000314980.5	+	32	4	3	1	0	0	28	4	0	0
LGALS8	ENST00000366584.9	+	4030	203	36	51	21	95	1513	1055	212	1250
LGALS9	ENST00000395473.7	+	456	31	6	13	4	8	359	43	23	31
LGALSL	ENST00000238875.10	+	3573	79	11	36	7	25	3079	281	23	190
LGI1	ENST00000371418.9	+	6611	159	75	37	23	24	5682	338	452	139
LGI2	ENST00000382114.9	-	69	13	7	6	0	0	27	42	0	0
LGI3	ENST00000306317.7	-	1427	31	3	14	3	11	251	1096	40	40
LGI4	ENST00000310123.8	-	5531	164	24	29	26	85	4218	660	172	481
LGMN	ENST00000334869.9	-	8679	163	9	38	43	73	5479	1058	802	1340
LGR4	ENST00000379214.9	-	49	12	0	1	0	11	0	5	0	44
LGR5	ENST00000266674.10	+	24	7	3	0	2	2	16	0	4	4
LGR6	ENST00000367278.8	+	11	3	0	3	0	0	0	11	0	0
LHB	ENST00000649238.3	-	3	1	1	0	0	0	3	0	0	0
LHFPL1	ENST00000371968.8	-	54	10	4	0	3	3	28	0	12	14
LHFPL2	ENST00000380345.7	-	147	24	7	11	4	2	55	72	11	9
LHFPL3	ENST00000424859.7	+	550	12	0	9	0	3	0	541	0	9
LHFPL4	ENST00000287585.8	-	42	11	0	0	0	11	0	0	0	42
LHFPL5	ENST00000360215.3	+	970	78	14	7	2	55	118	36	5	811
LHFPL6	ENST00000379589.4	-	735	18	1	6	0	11	9	624	0	102
LHPP	ENST00000368842.10	+	9588	250	20	36	26	168	6523	1351	332	1382
LHX1	ENST00000614239.1	+	2	1	0	1	0	0	0	2	0	0
LHX2	ENST00000373615.9	+	5497	128	14	29	13	70	716	3683	388	706
LHX6	ENST00000394319.9	-	1150	63	10	22	11	20	318	714	46	72
LHX8	ENST00000356261.4	+	114	21	6	12	0	3	23	74	0	17
LHX9	ENST00000367387.6	+	455	71	10	22	22	17	37	209	101	108
LIAS	ENST00000640888.2	+	2938	93	24	24	23	22	2361	229	246	102
LIF	ENST00000249075.4	-	7	2	0	0	0	2	0	0	0	7
LIFR	ENST00000453190.7	-	117	42	2	38	1	1	4	104	3	6
LIG1	ENST00000263274.12	-	3939	191	5	49	7	130	133	967	91	2748
LIG3	ENST00000378526.9	+	2235	185	8	96	17	64	1039	770	99	327
LIG4	ENST00000442234.6	-	788	41	14	4	3	20	424	99	50	215
LILRA1	ENST00000251372.8	+	3	1	1	0	0	0	3	0	0	0
LILRB4	ENST00000695418.1	+	23	5	0	2	3	0	0	5	18	0
LIMA1	ENST00000341247.9	-	1145	54	16	17	7	14	916	90	31	108
LIMCH1	ENST00000503057.6	+	8355	526	27	326	35	138	598	5894	444	1419
LIMD1	ENST00000273317.5	+	215	54	3	2	0	49	6	7	0	202
LIMD2	ENST00000259006.8	-	4020	110	17	7	27	59	3033	238	337	412
LIME1	ENST00000309546.8	+	330	43	7	26	7	3	111	190	22	7
LIMK1	ENST00000336180.7	+	689	53	4	30	0	19	86	452	0	151
LIMK2	ENST00000331728.9	+	1535	118	12	50	27	29	852	270	306	107
LIMS1	ENST00000544547.6	+	488	72	25	20	4	23	270	73	11	134
LIMS2	ENST00000355119.9	-	711	48	12	13	9	14	433	142	65	71
LIMS3	ENST00000480744.3	+	2	1	0	0	0	1	0	0	0	2
LIMS4	ENST00000632897.2	-	4	1	0	0	0	1	0	0	0	4
LIN28B	ENST00000345080.5	+	36	9	2	3	0	4	14	7	0	15
LIN37	ENST00000301159.14	+	4207	124	9	32	46	37	2602	551	888	166
LIN52	ENST00000555028.7	+	1554	80	10	8	16	46	784	147	237	386
LIN54	ENST00000340417.8	-	456	67	15	30	7	15	194	141	31	90
LIN7A	ENST00000552864.6	-	1015	81	33	36	7	5	608	374	15	18
LIN7B	ENST00000221459.7	+	8012	129	13	27	21	68	5745	906	467	894
LIN7C	ENST00000278193.7	-	7073	141	22	52	12	55	5289	952	86	746
LIN9	ENST00000681046.1	-	1527	112	10	40	19	43	762	325	119	321
LINGO1	ENST00000355300.7	-	1233	95	14	7	11	63	577	139	235	282
LINGO2	ENST00000698399.1	-	86	9	0	2	0	7	0	55	0	31
LINGO3	ENST00000698372.1	-	45	11	11	0	0	0	45	0	0	0
LINS1	ENST00000314742.13	-	2070	135	19	18	35	63	64	151	810	1045
LIPA	ENST00000336233.10	-	6057	202	15	24	48	115	3156	1242	576	1083
LIPC	ENST00000299022.10	+	66	12	0	7	1	4	0	26	4	36
LIPE	ENST00000244289.9	-	447	42	1	18	15	8	2	122	293	30
LIPG	ENST00000261292.9	+	1207	79	14	34	24	7	791	253	131	32
LIPH	ENST00000296252.9	-	2	1	0	0	0	1	0	0	0	2
LIPJ	ENST00000371939.7	+	8	3	0	0	0	3	0	0	0	8
LIPT1	ENST00000651691.1	+	1430	36	13	5	6	12	1174	97	81	78
LIPT2	ENST00000310109.5	-	173	18	14	0	0	4	163	0	0	10
LITAF	ENST00000622633.5	-	7355	81	29	13	5	34	5749	1372	36	198
LIX1	ENST00000274382.9	-	4242	70	23	15	2	30	3417	200	6	619
LIX1L	ENST00000604000.4	-	738	54	13	19	7	15	482	187	33	36
LKAAEAR1	ENST00000302096.5	-	636	10	6	3	0	1	608	26	0	2
LLGL1	ENST00000316843.9	+	107	21	1	12	1	7	31	42	5	29
LLGL2	ENST00000392550.8	+	42	16	1	13	0	2	5	30	0	7
LLPH	ENST00000266604.7	-	8718	82	13	15	2	52	7140	1295	19	264
LMAN1	ENST00000251047.6	-	3001	90	12	44	6	28	615	1978	25	383
LMAN2	ENST00000303127.12	-	11828	139	13	17	9	100	9626	650	55	1497
LMAN2L	ENST00000264963.9	-	4830	82	14	22	8	38	3869	427	242	292
LMBR1	ENST00000353442.10	-	1706	196	2	109	48	37	5	854	689	158
LMBR1L	ENST00000267102.13	-	5186	291	19	59	95	118	1702	1521	1132	831
LMBRD1	ENST00000649934.3	-	15473	260	28	95	40	97	10533	2916	296	1728
LMBRD2	ENST00000296603.5	-	1216	84	10	48	3	23	146	958	17	95
LMCD1	ENST00000157600.8	+	1090	35	8	21	2	4	953	106	19	12
LMF1	ENST00000262301.16	-	1684	100	9	27	27	37	997	358	115	214
LMF2	ENST00000474879.7	-	2006	124	0	14	3	107	0	613	15	1378
LMLN	ENST00000420910.7	+	73	15	3	11	0	1	8	63	0	2
LMNA	ENST00000368300.9	+	32830	394	25	72	62	235	8822	14487	7232	2289
LMNB1	ENST00000261366.10	+	2930	182	23	76	4	79	771	1784	16	359
LMNB2	ENST00000325327.4	-	353	46	5	35	0	6	29	301	0	23
LMNTD1	ENST00000458174.7	-	2	1	0	0	1	0	0	0	2	0
LMNTD2	ENST00000329451.8	-	9	3	0	2	0	1	0	6	0	3
LMO1	ENST00000335790.8	-	695	22	6	5	3	8	146	42	10	497
LMO2	ENST00000257818.3	-	397	15	5	0	3	7	324	0	8	65
LMO3	ENST00000537304.6	-	49257	857	186	134	222	315	36455	4039	6417	2346
LMO4	ENST00000370544.10	+	31290	338	50	38	12	235	25654	3590	156	1882
LMO7	ENST00000377534.8	+	6655	472	9	338	32	93	245	5648	343	419
LMOD1	ENST00000367288.5	-	157	24	0	9	0	15	0	64	0	93
LMOD3	ENST00000420581.7	-	39	12	4	8	0	0	21	18	0	0
LMTK2	ENST00000297293.6	+	206	57	1	47	0	9	3	173	0	30
LMTK3	ENST00000600059.6	-	172	10	0	6	0	4	0	163	0	9
LMX1A	ENST00000342310.7	-	53	8	4	1	0	3	43	2	0	8
LNP1	ENST00000383693.8	+	3500	86	33	31	11	11	2859	414	180	47
LNPEP	ENST00000231368.10	+	1353	120	6	106	0	8	22	1309	0	22
LNPK	ENST00000272748.9	-	3694	199	33	82	21	63	2092	1279	94	229
LNX1	ENST00000263925.8	-	7960	177	19	92	10	56	4795	2707	50	408
LNX2	ENST00000316334.5	-	253	20	2	16	0	2	89	159	0	5
LONP1	ENST00000360614.8	-	5233	109	5	30	12	62	2018	2916	63	236
LONP2	ENST00000285737.9	+	5776	314	65	125	5	119	3184	1735	21	836
LONRF1	ENST00000398246.8	-	1204	61	23	16	13	9	459	461	119	165
LONRF2	ENST00000393437.8	-	263	56	1	21	0	34	5	104	0	154
LONRF3	ENST00000371628.8	+	18	4	1	2	0	1	3	12	0	3
LOX	ENST00000231004.5	-	299	33	20	11	0	2	159	124	0	16
LOXHD1	ENST00000642948.1	-	4	2	0	1	0	1	0	2	0	2
LOXL1	ENST00000261921.8	+	151	23	10	10	3	0	78	62	11	0
LOXL2	ENST00000389131.8	-	133	22	2	17	2	1	64	62	4	3
LOXL3	ENST00000264094.8	-	2984	100	10	44	24	22	284	2280	112	308
LOXL4	ENST00000260702.4	-	11	5	1	4	0	0	2	9	0	0
LPA	ENST00000316300.10	-	17	5	0	4	0	1	0	13	0	4
LPAR1	ENST00000683809.1	-	2057	134	14	39	22	59	300	727	569	461
LPAR2	ENST00000407877.8	-	3800	114	5	18	18	73	838	1381	694	887
LPAR3	ENST00000370611.4	-	2	1	1	0	0	0	2	0	0	0
LPAR4	ENST00000614823.5	+	116	26	8	5	0	13	31	47	0	38
LPAR5	ENST00000329858.9	-	72	11	10	0	0	1	69	0	0	3
LPAR6	ENST00000620633.5	-	199	20	6	0	5	9	128	0	31	40
LPCAT1	ENST00000283415.4	-	344	28	2	22	1	3	136	190	2	16
LPCAT2	ENST00000262134.10	+	108	24	8	9	3	4	56	25	18	9
LPCAT3	ENST00000261407.9	-	1998	84	0	7	0	77	0	89	0	1909
LPCAT4	ENST00000314891.11	-	8655	210	6	35	64	105	3268	3532	619	1236
LPGAT1	ENST00000366997.9	-	123	38	3	19	3	13	19	53	19	32
LPIN1	ENST00000674199.1	+	1590	87	7	53	12	15	110	1267	93	120
LPIN2	ENST00000677752.1	-	836	67	2	46	3	16	50	704	6	76
LPIN3	ENST00000373257.8	+	13	4	2	1	0	1	9	2	0	2
LPL	ENST00000650287.1	+	5485	117	18	47	9	43	3151	1008	27	1299
LPO	ENST00000262290.9	+	19	5	0	4	1	0	0	16	3	0
LPP	ENST00000617246.5	+	29	11	1	4	2	4	3	11	6	9
LPXN	ENST00000395074.7	-	599	58	6	15	12	25	228	90	101	180
LRAT	ENST00000336356.4	+	47	8	8	0	0	0	47	0	0	0
LRATD1	ENST00000295092.3	+	1049	57	23	10	15	9	834	39	140	36
LRATD2	ENST00000304916.4	-	450	28	18	0	7	3	313	0	110	27
LRBA	ENST00000651943.2	-	6112	221	21	142	6	52	700	4720	30	662
LRCH1	ENST00000389797.8	+	667	93	14	43	14	22	113	307	54	193
LRCH2	ENST00000317135.13	-	887	123	9	89	10	15	147	624	57	59
LRCH3	ENST00000425562.7	+	659	127	7	40	9	71	117	225	37	280
LRCH4	ENST00000310300.11	-	357	48	5	19	16	8	37	118	64	138
LRCOL1	ENST00000376608.9	-	31	7	1	1	2	3	2	6	7	16
LRFN1	ENST00000248668.5	-	245	34	3	20	0	8	71	142	0	24
LRFN2	ENST00000338305.7	-	340	20	8	11	0	1	170	167	0	3
LRFN3	ENST00000246529.4	+	320	41	18	21	1	1	101	211	4	4
LRFN4	ENST00000309602.5	+	679	36	31	0	4	1	654	0	21	4
LRFN5	ENST00000298119.9	+	3365	184	20	85	13	66	1119	1735	119	392
LRG1	ENST00000306390.7	-	16	2	2	0	0	0	16	0	0	0
LRGUK	ENST00000285928.3	+	20	7	3	1	0	3	9	4	0	7
LRIF1	ENST00000369763.5	-	5373	107	27	34	1	45	3785	949	3	636
LRIG1	ENST00000273261.8	-	3287	83	6	54	4	19	181	2823	18	265
LRIG2	ENST00000361127.6	+	423	78	3	39	0	36	43	207	0	173
LRIG3	ENST00000320743.8	-	1291	58	6	29	1	22	131	853	4	303
LRIT3	ENST00000594814.6	+	4	1	0	1	0	0	0	4	0	0
LRMDA	ENST00000611255.5	+	302	6	0	0	0	6	0	0	0	302
LRP1	ENST00000243077.8	+	6208	237	1	107	10	119	5	4879	26	1298
LRP10	ENST00000359591.9	+	782	70	16	31	2	21	487	175	4	116
LRP11	ENST00000239367.7	-	1123	60	10	22	6	22	110	765	38	210
LRP12	ENST00000276654.10	-	1515	85	37	12	2	34	734	100	4	677
LRP1B	ENST00000389484.8	-	794	148	0	112	5	30	0	623	15	154
LRP2	ENST00000649046.1	-	266	52	0	47	0	5	0	224	0	42
LRP2BP	ENST00000505916.6	-	1705	129	13	47	11	45	60	1193	83	252
LRP3	ENST00000253193.9	+	2059	82	33	19	3	27	1396	483	7	173
LRP4	ENST00000378623.6	-	926	55	5	35	0	15	111	772	0	43
LRP5	ENST00000294304.12	+	442	73	0	28	0	45	0	222	0	220
LRP6	ENST00000261349.9	-	543	79	0	60	3	16	0	471	15	57
LRP8	ENST00000306052.12	-	1140	101	7	80	2	12	29	907	6	198
LRPAP1	ENST00000650182.1	-	38009	222	9	24	10	179	33961	2616	167	1265
LRPPRC	ENST00000260665.12	-	9349	387	49	133	8	197	3154	2939	29	3227
LRR1	ENST00000298288.11	+	2548	55	13	21	11	10	1839	151	506	52
LRRC1	ENST00000370888.6	+	1484	111	20	62	14	15	678	516	240	50
LRRC10	ENST00000361484.5	-	2	1	1	0	0	0	2	0	0	0
LRRC10B	ENST00000378075.4	+	648	49	49	0	0	0	648	0	0	0
LRRC14	ENST00000292524.6	+	2143	50	6	26	10	8	1021	637	389	96
LRRC14B	ENST00000328278.4	+	17	3	3	0	0	0	17	0	0	0
LRRC17	ENST00000339431.9	+	1978	46	8	23	5	10	1638	205	52	83
LRRC18	ENST00000374160.8	-	36	5	1	0	0	4	6	0	0	30
LRRC2	ENST00000395905.8	-	635	26	9	8	3	6	561	39	18	17
LRRC20	ENST00000446961.4	-	3184	50	5	6	7	32	2396	245	326	217
LRRC23	ENST00000443597.7	+	2036	132	14	60	51	7	825	614	575	22
LRRC24	ENST00000529415.7	-	21	4	1	1	0	2	13	4	0	4
LRRC25	ENST00000339007.4	-	44	4	4	0	0	0	44	0	0	0
LRRC26	ENST00000371542.3	-	104	3	2	0	0	1	101	0	0	3
